"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","91","89","0","1","1","57","1","240","3","COUNTY TRANSFER - OUT","53","48","0","0","2","31","0","134"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","28","34","0","0","0","2","0","64"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","2","0","0","0","0","0","0","2","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","6","3","0","0","0","4","0","13","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","74","63","0","0","3","49","0","189","30","MOVED OUT OF STATE","13","9","0","0","0","5","0","27"
"NVRA BY MAIL","2","0","0","0","0","1","0","3","0","OTHER","4","0","0","0","1","2","0","7"
"OTHER MEANS","0","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","3","0","0","0","0","4","0","7","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","178","155","0","1","4","116","1","455","34","TOTAL","98","91","0","0","3","40","0","232"
