"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","1","1","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","84","81","0","0","1","61","1","228","9","COUNTY TRANSFER - OUT","46","57","0","0","1","31","1","136"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","52","45","0","0","0","7","1","105"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","1","DUPLICATE","5","5","0","0","0","0","0","10"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","5","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","8","19","0","0","0","3","0","30","8","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","103","190","1","2","5","142","0","443","71","MOVED OUT OF STATE","8","31","0","0","0","14","1","54"
"NVRA BY MAIL","3","10","0","0","0","8","1","22","1","OTHER","0","1","0","0","0","0","0","1"
"OTHER MEANS","6","0","0","0","0","3","0","9","2","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","35","52","0","0","0","24","17","128"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","204","300","1","2","6","217","3","733","97","TOTAL","147","191","0","0","1","76","20","435"
