"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","4","2","0","0","0","1","0","7"
"BY MAIL","293","113","2","0","4","101","1","514","5","COUNTY TRANSFER-OUT","705","255","4","1","4","221","14","1,204"
"DESIGNATED STATE AGENCIES","3","7","0","0","0","5","0","15","1","CRIMINAL CONVICTION","9","5","0","0","0","9","0","23"
"ELDERLY / DISABLED","1","1","0","0","0","0","0","2","0","DEATH NOTICE","795","273","3","0","1","55","8","1,135"
"FROM ANOTHER BOARD","7","0","0","0","0","0","0","7","0","DUPLICATE","10","3","0","0","1","3","0","17"
"PROVISIONAL BALLOT","9","0","1","0","0","1","0","11","17","MAIL VERIFICATION (NVRA)","630","197","0","0","4","169","3","1,003"
"IN PERSON","164","28","1","0","1","21","0","215","6","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","747","323","5","2","14","368","8","1,467","3","MOVED OUT OF STATE","99","70","2","0","0","29","1","201"
"NVRA BY MAIL","34","20","0","0","0","15","0","69","1","OTHER","8","4","0","0","0","7","0","19"
"OTHER MEANS","246","15","0","0","2","46","1","310","544","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","175","40","0","0","2","19","2","238"
"SOCIAL SERVICES","10","3","0","0","0","16","0","29","1","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","1,514","510","9","2","21","573","10","2,639","578","TOTAL","2,436","849","9","1","12","513","28","3,848"
