"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","10","11","0","0","0","6","1","28","19","COUNTY TRANSFER - OUT","22","36","2","0","2","9","1","72"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","2","CRIMINAL CONVICTION","2","1","0","0","0","0","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","11","16","0","0","0","4","1","32"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","1","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","1","1","0","0","0","0","0","2","3","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","5","5"
"IN PERSON","2","1","0","0","0","0","0","3","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","46","48","0","0","1","58","0","153","46","MOVED OUT OF STATE","2","7","0","0","0","4","0","13"
"NVRA BY MAIL","2","4","0","1","0","2","0","9","1","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","6","0","0","0","0","1","0","7","3","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","1","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","67","65","0","1","1","67","1","202","77","TOTAL","37","60","2","0","2","18","7","126"
