"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","0","1","0","0","1","0","4","163","BOARD ACTION","6","1","0","0","0","0","2","1","10"
"BY MAIL","241","90","2","2","3","0","77","10","425","229","CONFIRMATION MAIL","4","2","1","0","0","0","7","0","14"
"DESIGNATED STATE AGENCIES","146","70","0","0","4","0","111","14","345","24","COUNTY TRANSFER - OUT","6,840","2,379","28","64","19","5","2,669","121","12,125"
"ELDERLY / DISABLED / SOC SEC","231","48","1","1","2","1","110","39","433","0","CRIMINAL CONVICTION","65","16","0","0","0","0","39","4","124"
"ERIC REPORT","3402","1134","13","35","8","3","1299","69","5,963","4","DEATH NOTICE","1,988","1,016","5","9","1","2","377","44","3,442"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","31","5","0","0","0","0","7","0","43"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","584","243","4","9","1","0","236","9","1,086"
"IN PERSON","25","5","0","0","0","0","8","0","38","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","6871","2499","30","112","34","5","4146","108","13,805","875","MOVED OUT OF STATE","177","118","2","1","0","0","85","4","387"
"NVRA BY MAIL","5","3","0","0","0","0","5","0","13","2","OTHER","30","5","1","0","0","0","14","1","51"
"ONLINE REGISTRATION","459","119","2","4","7","1","177","4","773","4","VOTER REQUEST","18","10","0","1","0","0","10","1","40"
"OTHER MEANS","16","18","0","0","0","0","9","0","43","109","","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY REGISTRATION","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","48","6","0","1","0","0","18","0","73","0","","","","","","","","","",""
"TOTAL","11,447","3,992","48","156","58","10","5,961","244","21,916","1,411","TOTAL","9,743","3,795","41","84","21","7","3,446","185","17,322"
