"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","AmE","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","AmE","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","131","43","0","1","0","51","8","234","49","BOARD ACTION","4","0","0","0","0","0","0","4"
"BY MAIL","485","172","0","2","3","214","10","886","71","CONFIRMATION MAIL","1","1","0","0","0","1","0","3"
"DESIGNATED STATE AGENCIES","11","1","0","0","0","1","0","13","0","COUNTY TRANSFER - OUT","6,254","2,001","0","35","55","2,050","119","10,514"
"ELDERLY / DISABLED","2019","275","3","7","13","548","8","2,873","0","CRIMINAL CONVICTION","12","1","0","0","0","2","0","15"
"FROM ANOTHER BOARD","11","1","0","0","0","1","0","13","11","DEATH NOTICE","134","99","0","0","0","13","1","247"
"PROVISIONAL BALLOT","11239","3199","3","57","83","3591","159","18,331","2,421","DUPLICATE","36","13","0","0","0","6","0","55"
"IN PERSON","56","35","0","1","0","25","1","118","135","MAIL VERIFICATION (NVRA)","0","0","0","0","0","1","0","1"
"MOTOR VEHICLE ADMINISTRATION","2164","909","1","9","20","1040","15","4,158","425","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"NVRA BY MAIL","23","11","0","1","1","19","0","55","1","MOVED OUT OF STATE","43","69","0","1","0","30","1","144"
"ONLINE REGISTRATION","55","16","0","1","1","16","0","89","11","OTHER","23","12","0","0","0","10","0","45"
"OTHER MEANS","781","219","1","6","2","316","5","1,330","127","VOTER REQUEST","2","3","0","0","0","2","0","7"
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"SOCIAL SERVICES","41","6","0","0","0","16","0","63","20","","","","","","","","",""
"VOLUNTEER","194","22","0","1","2","52","1","272","0","","","","","","","","",""
"TOTAL","17,210","4,909","8","86","125","5,890","207","28,435","3,271","TOTAL","6,509","2,199","0","36","55","2,115","121","11,035"
