"","","","","","","","","","","","","","","","","",""
"","REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","","DEM","REP","","WCP BAR UNAF","","OTH","TOTAL","DUPS","","DEM","REP","","WCP BAR UNAF","","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","134","20","0","0","21","5","180","55","BOARD ACTION","4","3","0","0","0","3","10"
"","BY MAIL","6444","2256","0","0","1038","89","9,827","647","CONFIRMATION MAIL","4","1","0","0","0","0","5"
"","DESIGNATED STATE AGENCIES","318","51","3","0","203","59","634","38","COUNTY TRANSFER - OUT","9,635","3,207","1","1","2,018","173","15,035"
"","ELDERLY / DISABLED / SOC SEC","1224","267","0","0","427","157","2,075","12","CRIMINAL CONVICTION","4","4","0","0","2","0","10"
"","ERIC REPORT","9","2","0","0","0","1","12","1","DEATH NOTICE","2,462","941","0","0","305","55","3,763"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","12","8","0","0","3","0","23"
"","PROVISIONAL BALLOT","3","0","0","0","0","0","3","0","MAIL VERIFICATION (NVRA)","2","0","0","0","0","0","2"
"","IN PERSON","46","14","0","0","4","1","65","7","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","1869","841","2","3","927","61","3,703","327","MOVED OUT OF STATE","296","154","0","0","70","5","525"
"","NVRA BY MAIL","19","8","0","0","5","0","32","4","OTHER","10","1","0","0","7","1","19"
"","ONLINE REGISTRATION","3541","1105","8","7","1333","56","6,050","74","VOTER REQUEST","16","12","0","0","13","4","45"
"","OTHER MEANS","62","18","0","0","14","6","100","40","","","","","","","",""
"","RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"","SOCIAL SERVICES","0","1","0","0","1","0","2","0","","","","","","","",""
"","VOLUNTEER","381","200","5","1","203","15","805","18","","","","","","","",""
"","TOTAL","14,050","4,783","18","11","4,176","450","23,488","1,223","TOTAL","12,445","4,331","1","1","2,418","241","19,437"
