"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","115","48","0","0","25","2","190","69","BOARD ACTION","3","0","0","0","0","0","3"
"BY MAIL","795","275","4","4","310","10","1,398","286","CONFIRMATION MAIL","2","0","0","0","3","0","5"
"DESIGNATED STATE AGENCIES","261","95","5","1","214","15","591","107","COUNTY TRANSFER - OUT","4,256","1,203","0","32","1,671","115","7,277"
"ELDERLY / DISABLED / SOC SEC","368","123","3","2","198","6","700","4","CRIMINAL CONVICTION","61","13","0","0","23","2","99"
"ERIC REPORT","2","0","0","0","0","0","2","1","DEATH NOTICE","1,969","955","0","4","470","31","3,429"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","179","69","0","1","82","13","344"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","86","37","1","0","32","1","157","7","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","6790","2677","0","122","5719","222","15,530","611","MOVED OUT OF STATE","310","129","0","4","111","3","557"
"NVRA BY MAIL","26","18","0","0","14","0","58","6","OTHER","32","6","1","0","24","1","64"
"ONLINE REGISTRATION","1132","456","30","17","689","17","2,341","2","VOTER REQUEST","249","65","1","0","107","3","425"
"OTHER MEANS","294","42","2","3","126","10","477","46","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"SAME DAY REGISTRATION","0","0","0","0","0","0","0","0","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","1","","","","","","","",""
"VOLUNTEER","157","54","9","2","110","6","338","0","","","","","","","",""
"TOTAL","10,026","3,825","54","151","7,437","289","21,782","1,141","TOTAL","7,061","2,440","2","41","2,491","168","12,203"
