"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","1","1","0","0","0","2","1","BOARD ACTION","0","0","0","0","0","0"
"BY MAIL","","157","61","0","72","2","292","141","CONFIRMATION MAIL","4","1","0","1","0","6"
"DESIGNATED STATE AGENCIES","","294","94","0","192","16","596","18","COUNTY TRANSFER - OUT","6,037","1,807","60","2,408","169","10,481"
"ELDERLY / DISABLED / SOC SEC","","124","42","0","66","12","244","1","CRIMINAL CONVICTION","27","8","0","16","6","57"
"ERIC REPORT","","2256","567","23","860","59","3,765","7","DEATH NOTICE","1,876","950","2","362","31","3,221"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","43","12","0","15","4","74"
"PROVISIONAL BALLOT","","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","431","211","5","229","13","889"
"IN PERSON","","9","3","0","7","0","19","7","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","8920","3077","152","6899","304","19,352","302","MOVED OUT OF STATE","168","139","2","81","2","392"
"NVRA BY MAIL","","3","6","0","3","0","12","0","OTHER","33","13","0","21","0","67"
"ONLINE REGISTRATION","","212","56","7","110","3","388","3","VOTER REQUEST","36","17","1","23","2","79"
"OTHER MEANS","","98","21","0","34","8","161","19","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","1","","","","","","",""
"SAME DAY REGISTRATION","","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","","0","0","0","2","0","2","0","","","","","","",""
"VOLUNTEER","","12","4","0","8","1","25","0","","","","","","",""
"TOTAL","","12,086","3,932","182","8,253","405","24,858","500","TOTAL","8,655","3,158","70","3,156","227","15,266"
