"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","2","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","30","48","0","0","2","34","0","114","3","COUNTY TRANSFER - OUT","79","75","0","0","2","39","0","195"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","3","0","0","0","0","3","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","1","0","1","0","DEATH NOTICE","34","16","0","0","0","2","0","52"
"FROM ANOTHER BOARD","0","1","0","0","0","0","0","1","0","DUPLICATE","2","6","0","0","0","0","0","8"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","10","14","0","0","0","3","0","27","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","74","85","1","0","4","80","3","247","40","MOVED OUT OF STATE","7","6","0","0","1","8","0","22"
"NVRA BY MAIL","2","8","0","0","0","5","0","15","0","OTHER","3","4","0","0","0","2","0","9"
"OTHER MEANS","","","","","","","","0","","VOTER REQUEST","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","1","0","0","0","3","0","4","0","","","","","","","","",""
"VOLUNTEER","8","11","0","0","0","3","0","22","0","","","","","","","","",""
"TOTAL","125","168","1","0","6","129","4","433","44","TOTAL","128","107","0","0","3","55","0","293"
