"Queen Anne's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","12","19","0","0","0","20","1","52","0","COUNTY TRANSFER - OUT","23","33","0","0","0","10","0","66"
"DESIGNATED STATE AGENCIES","0","2","0","0","0","1","1","4","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","2","0","0","0","0","0","0","2","0","DEATH NOTICE","21","12","0","0","0","4","1","38"
"FROM ANOTHER BOARD","1","0","0","0","0","1","0","2","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","1","0","0","0","0","1","0","2","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","11","5","0","0","0","0","0","16","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","41","47","0","0","0","30","0","118","0","MOVED OUT OF STATE","7","2","0","0","0","1","0","10"
"NVRA BY MAIL","15","54","1","1","2","26","0","99","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","5","4","0","0","0","4","0","13","3","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","2","0","0","0","1","0","4"
"SOCIAL SERVICES","0","2","0","0","0","0","0","2","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","88","133","1","1","2","83","2","310","3","TOTAL","52","49","0","0","0","16","1","118"
