"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","16","2","0","0","0","1","0","19","2","BOARD ACTION","1","0","0","0","0","0","0","1"
"BY MAIL","192","153","4","0","8","110","8","475","22","COUNTY TRANSFER - OUT","245","135","1","0","2","105","1","489"
"DESIGNATED STATE AGENCIES","2","0","0","0","0","0","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","1","0","0","0","0","0","1","0","DEATH NOTICE","79","31","0","0","0","11","3","124"
"FROM ANOTHER BOARD","3","2","0","0","2","2","0","9","1","DUPLICATE","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","22","29","0","0","2","4","0","57","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","322","148","0","3","6","196","9","684","22","MOVED OUT OF STATE","25","17","0","0","1","12","0","55"
"NVRA BY MAIL","24","19","0","0","0","14","1","58","1","OTHER","4","1","0","0","0","0","0","5"
"OTHER MEANS","19","8","0","0","1","0","0","28","45","VOTER REQUEST","0","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","1","0","0","0","3","0","6","2","","","","","","","","",""
"VOLUNTEER","7","7","0","0","0","4","0","18","0","","","","","","","","",""
"TOTAL","609","370","4","3","19","334","18","1,357","96","TOTAL","355","185","1","0","3","128","4","676"
