"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","0","0","0","0","0","0","3","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","60","86","0","0","0","43","2","191","1","COUNTY TRANSFER - OUT","30","26","0","0","0","13","0","69"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","1","0","0","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","48","18","0","0","1","11","1","79"
"FROM ANOTHER BOARD","0","3","0","0","0","0","0","3","0","DUPLICATE","1","1","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","4","7","0","0","0","3","0","14","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","90","115","1","0","3","94","0","303","20","MOVED OUT OF STATE","17","16","0","0","0","11","0","44"
"NVRA BY MAIL","2","8","1","0","0","5","0","16","0","OTHER","1","2","0","0","0","3","0","6"
"OTHER MEANS","5","3","0","0","0","3","0","11","6","VOTER REQUEST","2","0","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","1","0","1","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","3","16","0","0","0","1","0","20","0","","","","","","","","",""
"TOTAL","167","238","2","0","3","150","2","562","27","TOTAL","100","64","0","0","1","38","1","204"
