"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","1","0","0","0","1","0","5","16","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","79","109","0","0","3","60","1","252","16","COUNTY TRANSFER - OUT","93","82","1","0","1","84","0","261"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","2","0","2","0","CRIMINAL CONVICTION","1","1","0","0","0","2","0","4"
"ELDERLY / DISABLED","0","4","0","0","0","1","0","5","2","DEATH NOTICE","78","66","0","0","0","15","0","159"
"FROM ANOTHER BOARD","18","19","0","0","0","10","0","47","1","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","17","19","0","0","0","7","0","43","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","159","141","0","1","3","177","0","481","65","MOVED OUT OF STATE","31","23","0","0","0","16","1","71"
"NVRA BY MAIL","24","29","0","0","3","18","0","74","17","OTHER","0","0","0","0","0","2","4","6"
"OTHER MEANS","25","30","0","0","1","28","0","84","39","VOTER REQUEST","0","1","0","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","4","1","0","0","0","6","0","11","1","","","","","","","","",""
"VOLUNTEER","10","23","0","1","0","4","0","38","0","","","","","","","","",""
"TOTAL","339","376","0","2","10","314","1","1,042","161","TOTAL","203","173","1","0","1","120","5","503"
