"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","34","10","0","0","0","8","1","53","16","BOARD ACTION","0","0","0","0","0","2","0","2"
"BY MAIL","383","143","3","1","5","189","5","729","247","COUNTY TRANSFER - OUT","382","161","4","0","2","163","1","713"
"DESIGNATED STATE AGENCIES","2","0","0","0","0","2","0","4","0","CRIMINAL CONVICTION","2","0","0","0","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","3","DEATH NOTICE","287","138","0","0","2","51","1","479"
"FROM ANOTHER BOARD","3","0","0","0","0","2","0","5","11","DUPLICATE","5","1","0","0","0","4","0","10"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","51","19","1","0","1","14","0","86","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","998","281","7","1","13","721","13","2,034","410","MOVED OUT OF STATE","127","63","4","0","0","64","1","259"
"NVRA BY MAIL","2","0","0","0","0","1","0","3","0","OTHER","7","1","0","0","0","24","0","32"
"OTHER MEANS","195","65","3","0","1","77","2","343","61","VOTER REQUEST","4","1","0","0","0","3","0","8"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","0","1","0","0","0","0","3"
"SOCIAL SERVICES","0","1","0","0","0","0","0","1","0","","","","","","","","",""
"VOLUNTEER","71","6","0","0","0","19","0","96","0","","","","","","","","",""
"TOTAL","1,739","525","14","2","20","1,033","21","3,354","750","TOTAL","816","365","9","0","4","311","3","1,508"
