"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","0","0","0","2","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","20","30","0","1","1","10","1","63","0","COUNTY TRANSFER - OUT","16","18","1","0","2","9","0","46"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","5","10","0","0","0","1","0","16"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","1","0","0","0","2","0","3"
"IN PERSON","13","23","0","0","0","5","0","41","0","MENTAL INCOMPETENCY","0","1","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","16","31","1","0","1","24","3","76","0","MOVED OUT OF STATE","0","2","0","0","0","0","0","2"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","0","1","0","0","0","0","0","1"
"OTHER MEANS","4","2","0","0","0","2","0","8","24","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","1","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","6","5","0","0","0","0","0","11","0","","","","","","","","",""
"TOTAL","61","92","1","1","2","41","4","202","24","TOTAL","22","33","1","0","2","13","0","71"
