"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","5","1","0","0","0","0","0","6","15","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","13","14","0","0","0","7","1","35","15","COUNTY TRANSFER - OUT","23","23","0","0","1","11","1","59"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","1","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","10","7","0","0","0","2","0","19"
"FROM ANOTHER BOARD","1","1","0","0","0","0","0","2","0","DUPLICATE","1","1","0","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","9","11","0","0","0","3","0","23","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","18","11","0","0","0","9","1","39","7","MOVED OUT OF STATE","0","0","0","0","0","1","0","1"
"NVRA BY MAIL","2","3","0","0","0","1","0","6","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","14","9","0","0","0","0","0","23","3","VOTER REQUEST","0","2","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","1","0","2","0","","","","","","","","",""
"VOLUNTEER","11","5","0","0","0","2","0","18","0","","","","","","","","",""
"TOTAL","75","55","0","0","0","24","2","156","41","TOTAL","34","33","0","0","1","15","1","84"
