"Garrett","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","2","0","0","0","0","0","2","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","2","15","0","0","0","8","0","25","4","COUNTY TRANSFER - OUT","8","7","0","0","0","2","0","17"
"DESIGNATED STATE AGENCIES","0","4","0","0","0","0","0","4","0","CRIMINAL CONVICTION","0","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","5","13","0","0","0","1","0","19"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","4","20","0","0","0","3","0","27","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","13","12","0","0","0","11","0","36","9","MOVED OUT OF STATE","0","3","0","0","0","0","0","3"
"NVRA BY MAIL","1","6","0","0","0","0","0","7","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","1","0","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","2","0","0","0","1","0","4","3","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","1","0","","","","","","","","",""
"TOTAL","23","62","0","0","0","23","0","108","17","TOTAL","13","24","0","0","0","3","0","40"
