"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","7","0","0","0","0","1","1","9","14","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","381","56","1","0","1","133","0","572","412","COUNTY TRANSFER - OUT","582","140","5","0","6","99","44","876"
"DESIGNATED STATE AGENCIES","6","0","0","0","0","2","0","8","15","CRIMINAL CONVICTION","12","2","0","0","0","2","0","16"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","3","DEATH NOTICE","638","83","0","0","0","26","35","782"
"FROM ANOTHER BOARD","7","1","0","0","0","1","1","10","53","DUPLICATE","131","13","0","0","0","34","4","182"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","3","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","56","5","0","0","0","8","0","69","8","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,214","132","0","0","5","393","9","1,753","239","MOVED OUT OF STATE","99","17","0","0","0","20","31","167"
"NVRA BY MAIL","1","0","0","0","0","0","0","1","0","OTHER","3","0","0","0","0","1","7","11"
"OTHER MEANS","66","3","1","0","1","20","1","92","204","VOTER REQUEST","3","1","0","0","0","0","1","5"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","1","1"
"SOCIAL SERVICES","4","0","0","0","0","2","0","6","2","","","","","","","","",""
"VOLUNTEER","46","5","0","0","0","15","0","66","0","","","","","","","","",""
"TOTAL","1,788","202","2","0","7","575","12","2,586","953","TOTAL","1,468","256","5","0","6","182","123","2,040"
