"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","3","0","0","0","0","0","6","0","BOARD ACTION","0","2","0","0","0","0","0","2"
"BY MAIL","55","109","2","0","1","30","0","197","1","COUNTY TRANSFER - OUT","114","92","1","0","1","40","3","251"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","0","0","2","0","CRIMINAL CONVICTION","4","2","0","0","0","0","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","91","52","0","0","0","6","0","149"
"FROM ANOTHER BOARD","5","5","0","0","0","4","0","14","0","DUPLICATE","0","3","0","0","0","0","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","16","35","0","0","1","5","2","59","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","190","201","0","0","3","166","0","560","19","MOVED OUT OF STATE","15","28","0","0","0","7","1","51"
"NVRA BY MAIL","19","28","0","0","0","9","0","56","1","OTHER","2","0","0","0","0","2","0","4"
"OTHER MEANS","4","21","0","0","1","13","0","39","3","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","1","0","0","0","0","0","3","0","","","","","","","","",""
"VOLUNTEER","7","32","0","0","0","14","0","53","0","","","","","","","","",""
"TOTAL","302","436","2","0","6","241","2","989","24","TOTAL","226","179","1","0","1","55","4","466"
