"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","6","0","0","0","0","1","0","7","2","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","34","64","0","0","3","43","1","145","30","COUNTY TRANSFER - OUT","42","34","0","0","0","17","1","94"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","2","0","0","0","0","0","3"
"ELDERLY / DISABLED","1","0","0","0","0","0","0","1","0","DEATH NOTICE","38","18","0","0","1","9","1","67"
"FROM ANOTHER BOARD","5","0","0","0","0","1","1","7","2","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","4","9","0","0","0","0","0","13","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","67","79","1","0","2","55","4","208","83","MOVED OUT OF STATE","4","13","0","0","0","7","0","24"
"NVRA BY MAIL","11","18","0","0","0","11","1","41","5","OTHER","2","0","0","0","0","0","0","2"
"OTHER MEANS","10","9","0","0","0","3","1","23","22","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","0","1"
"SOCIAL SERVICES","2","0","0","0","0","0","0","2","0","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"TOTAL","141","179","1","0","5","114","8","448","146","TOTAL","88","67","0","0","1","33","2","191"
