"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","8","2","0","0","0","3","0","13","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","65","39","0","0","0","26","1","131","10","COUNTY TRANSFER - OUT","98","41","0","0","0","47","0","186"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","7","1","0","0","0","0","0","8","0","DEATH NOTICE","44","21","0","0","0","4","0","69"
"FROM ANOTHER BOARD","7","1","0","0","0","1","0","9","1","DUPLICATE","0","3","0","0","0","0","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","42","11","1","0","0","4","1","59","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","190","68","0","0","2","89","1","350","68","MOVED OUT OF STATE","16","24","0","0","0","10","0","50"
"NVRA BY MAIL","1","8","0","0","0","3","0","12","0","OTHER","1","0","0","0","0","1","0","2"
"OTHER MEANS","9","2","0","0","0","5","0","16","0","VOTER REQUEST","2","0","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","18","1","0","0","0","0","0","19","0","","","","","","","","",""
"TOTAL","347","133","1","0","2","131","3","617","83","TOTAL","161","89","0","0","0","62","0","312"
