"","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","1","0","0","0","0","1","7","","BOARD ACTION","0","0","0","0","0","0"
"","BY MAIL","365","121","0","114","16","616","333","","CONFIRMATION MAIL","3","0","0","1","0","4"
"","DESIGNATED STATE AGENCIES","136","33","0","100","13","282","21","","COUNTY TRANSFER - OUT","3,544","1,291","0","1,322","115","6,272"
"","ELDERLY / DISABLED / SOC SEC","183","48","1","94","22","348","1","","CRIMINAL CONVICTION","82","20","0","15","6","123"
"","ERIC REPORT","0","0","0","0","0","0","0","","DEATH NOTICE","1,778","822","0","277","42","2,919"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","","DUPLICATE","16","5","0","4","2","27"
"","PROVISIONAL BALLOT","0","0","0","0","0","0","2","","MAIL VERIFICATION (NVRA)","432","250","0","230","34","946"
"","IN PERSON","28","7","0","17","0","52","6","","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","8794","3276","17","5139","203","17,429","383","","MOVED OUT OF STATE","138","136","0","68","10","352"
"","NVRA BY MAIL","16","6","0","7","1","30","14","","OTHER","51","14","0","38","11","114"
"","ONLINE REGISTRATION","249","82","1","130","5","467","5","","VOTER REQUEST","12","5","0","5","3","25"
"","OTHER MEANS","31","15","0","15","2","63","73","","","","","","","",""
"","RECRUITING","0","1","0","0","0","0","0","","","","","","","",""
"","SOCIAL SERVICES","2","1","0","0","0","3","2","","","","","","","",""
"","VOLUNTEER","81","13","0","36","7","137","0","","","","","","","",""
"","TOTAL","9,886","3,603","19","5,652","269","19,428","847","","TOTAL","6,056","2,543","0","1,960","223","10,782"
