"","SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","",""
"","","DEM","REP","","WCP BAR UNAF","","OTH","TOTAL","DUPS","","DEM","REP","WCP","BAR","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","65","12","0","0","11","5","93","141","BOARD ACTION","0","0","0","","0","0","0"
"","BY MAIL","604","336","1","1","220","21","1,183","779","CONFIRMATION MAIL","18","14","0","0","10","0","42"
"","DESIGNATED STATE AGENCIES","384","93","6","2","211","28","724","22","COUNTY TRANSFER - OUT","4,326","1,633","4","2","1,701","123","7,789"
"","ELDERLY / DISABLED / SOC SEC","969","266","3","2","507","150","1,897","4","CRIMINAL CONVICTION","11","5","0","0","7","1","24"
"","ERIC REPORT","3","0","0","0","1","0","4","1","DEATH NOTICE","2,249","1,007","0","0","363","48","3,667"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","90","18","0","0","18","3","129"
"","PROVISIONAL BALLOT","17","0","0","0","4","0","21","13","MAIL VERIFICATION (NVRA)","31,882","14,584","2","13","11,235","939","58,655"
"","IN PERSON","25","15","0","0","7","0","47","34","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","7429","3340","34","14","4569","115","15,501","776","MOVED OUT OF STATE","590","539","0","1","294","25","1,449"
"","NVRA BY MAIL","22","15","0","0","13","0","50","4","OTHER","18","4","0","0","15","2","39"
"","ONLINE REGISTRATION","2481","1096","14","4","1455","93","5,143","86","VOTER REQUEST","17","10","0","0","6","2","35"
"","OTHER MEANS","114","23","0","0","39","6","182","64","","","","","","","",""
"","RECRUITING","1","0","0","0","0","0","0","0","","","","","","","",""
"","SAME DAY REGISTRATION","0","0","0","0","0","0","0","2","","","","","","","",""
"","SOCIAL SERVICES","1","0","0","0","0","0","1","0","","","","","","","",""
"","VOLUNTEER","391","211","5","2","246","18","873","14","","","","","","","",""
"","TOTAL","12,506","5,407","63","25","7,283","436","25,719","1,940","TOTAL","39,201","17,814","6","16","13,649","1,143","71,829"
