"","NEW REGISTRATION BY PARTY
REMOVALS
SUMMARY","","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","WCP","UNA","OTH","TOTAL","DUPS","","DEM","REP","","GRN WCP UNA OTH","","","TOTAL"
"","ABSENTEE BALLOT (FPCA)","14","5","0","0","3","1","23","27","BOARD ACTION","0","0","0","0","0","0","0"
"","BY MAIL","64","40","0","0","38","6","148","129","CONFIRMATION MAIL","3","5","0","0","4","1","13"
"","DESIGNATED STATE AGENCIES","265","83","0","1","207","11","567","89","COUNTY TRANSFER - OUT","3,641","1,181","8","5","1,828","163","6,826"
"","ELDERLY / DISABLED / SOC SEC","76","23","1","1","76","4","181","0","CRIMINAL CONVICTION","43","4","0","0","13","1","61"
"","ERIC REPORT","612","173","2","2","460","45","1,294","0","DEATH NOTICE","1,951","1,023","3","0","455","40","3,472"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","88","30","1","0","31","6","156"
"","PROVISIONAL BALLOT","44","6","0","0","9","2","61","210","MAIL VERIFICATION (NVRA)","6,101","3,129","25","19","3,886","322","13,482"
"","IN PERSON","27","6","0","0","7","1","41","21","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","6048","2651","37","0","5520","367","14,623","225","MOVED OUT OF STATE","395","168","1","1","168","10","743"
"","NVRA BY MAIL","10","3","0","0","9","1","23","8","OTHER","59","19","0","0","59","10","147"
"","ONLINE REGISTRATION","166","47","1","0","79","4","297","1","VOTER REQUEST","72","26","0","0","41","2","141"
"","OTHER MEANS","226","93","0","0","111","11","441","112","","","","","","","",""
"","RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"","SAME DAY REGISTRATION","1","0","0","0","0","0","1","0","","","","","","","",""
"","SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"","VOLUNTEER","7","6","0","0","12","1","26","0","","","","","","","",""
"","TOTAL","7,560","3,136","41","4","6,531","454","17,726","822","TOTAL","12,353","5,585","38","25","6,485","555","25,041"
