"","","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","6","0","0","1","1","1","9","1","BOARD ACTION","0","0","0","0","0","0","0"
"","BY MAIL","515","158","3","7","228","11","922","104","CONFIRMATION MAIL","6","3","0","0","2","0","11"
"","DESIGNATED STATE AGENCIES","159","25","5","1","65","11","266","82","COUNTY TRANSFER - OUT","2,421","939","14","34","781","20","4,209"
"","ELDERLY / DISABLED / SOC SEC","392","118","7","8","282","12","819","6","CRIMINAL CONVICTION","46","12","0","1","17","1","77"
"","ERIC REPORT","0","0","0","0","0","0","0","5","DEATH NOTICE","1,646","740","2","6","274","28","2,696"
"","FROM ANOTHER BOARD","10","5","0","1","0","0","16","5","DUPLICATE","51","13","0","1","4","2","71"
"","PROVISIONAL BALLOT","1","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","354","71","3","2","94","13","537"
"","IN PERSON","35","14","1","0","21","1","72","8","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","5657","2463","34","137","3357","106","11,754","1,017","MOVED OUT OF STATE","223","158","2","3","126","6","518"
"","NVRA BY MAIL","21","8","0","0","16","0","45","4","OTHER","16","8","1","0","17","3","45"
"","ONLINE REGISTRATION","401","105","4","8","165","2","685","14","VOTER REQUEST","9","5","1","0","2","1","18"
"","OTHER MEANS","52","33","1","0","40","1","127","5,365","","","","","","","",""
"","RECRUITING","2","2","0","0","0","0","4","0","","","","","","","",""
"","SOCIAL SERVICES","3","1","0","0","2","0","6","5","","","","","","","",""
"","VOLUNTEER","116","15","2","3","42","0","178","0","","","","","","","",""
"","TOTAL","7,370","2,947","57","166","4,219","145","14,904","6,616","TOTAL","4,772","1,949","23","47","1,317","74","8,182"
