"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","11","10","0","0","0","7","0","28","6","COUNTY TRANSFER - OUT","23","18","0","0","0","12","0","53"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","1","0","0","0","1","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","1","1","0","0","0","0","0","2"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","1","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","9","11","0","0","2","10","0","32"
"IN PERSON","1","1","0","0","0","0","1","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","65","58","0","2","2","42","1","170","43","MOVED OUT OF STATE","5","3","0","0","0","2","1","11"
"NVRA BY MAIL","1","3","0","0","0","1","1","6","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","18","18","0","0","1","17","0","54","12","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","1","0","1"
"SOCIAL SERVICES","0","3","0","0","0","1","0","4","0","","","","","","","","",""
"VOLUNTEER","0","3","0","0","0","0","0","3","0","","","","","","","","",""
"TOTAL","97","96","0","2","3","68","3","269","62","TOTAL","40","34","0","0","2","26","1","103"
