"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","12","13","0","0","0","4","1","30","2","COUNTY TRANSFER - OUT","9","17","0","0","1","6","0","33"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","10","4","0","0","0","5","0","19"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","12","15","0","0","0","3","0","30"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","0","1","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","61","60","1","0","3","68","1","194","20","MOVED OUT OF STATE","3","9","0","0","0","2","0","14"
"NVRA BY MAIL","1","0","0","0","0","1","0","2","0","OTHER","2","3","0","0","0","0","0","5"
"OTHER MEANS","3","2","1","0","0","0","0","6","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","3","1","0","0","0","1","0","5","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","82","76","2","0","3","75","2","240","22","TOTAL","36","48","0","0","1","16","0","101"
