"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","1","BOARD ACTION","3","2","0","0","0","1","0","6"
"BY MAIL","498","76","1","0","2","71","1","649","84","COUNTY TRANSFER - OUT","533","120","4","0","6","148","6","817"
"DESIGNATED STATE AGENCIES","31","5","0","0","0","0","0","36","2","CRIMINAL CONVICTION","48","1","1","0","0","6","0","56"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","8","0","0","0","0","1","0","9"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","0","DUPLICATE","13","3","0","0","0","2","0","18"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","141","18","0","0","0","23","1","183"
"IN PERSON","2","0","0","0","0","1","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","620","132","3","0","2","229","16","1,002","156","MOVED OUT OF STATE","108","37","0","0","1","61","1","208"
"NVRA BY MAIL","5","1","0","0","0","0","0","6","0","OTHER","1","0","0","0","0","0","0","1"
"OTHER MEANS","64","3","0","0","0","3","0","70","63","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","71","8","1","0","0","8","0","88"
"SOCIAL SERVICES","11","0","0","0","0","2","0","13","2","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","1,232","217","4","0","4","306","17","1,780","309","TOTAL","927","189","6","0","7","250","8","1,387"
