"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","2","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","135","21","2","0","1","30","0","189","134","COUNTY TRANSFER - OUT","286","39","0","0","2","46","15","388"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","1","CRIMINAL CONVICTION","10","1","0","0","0","3","2","16"
"ELDERLY / DISABLED","3","0","0","0","0","1","0","4","13","DEATH NOTICE","8","0","0","0","0","0","2","10"
"FROM ANOTHER BOARD","2","0","0","0","0","0","0","2","47","DUPLICATE","111","6","0","0","0","17","8","142"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","7","MAIL VERIFICATION (NVRA)","48","16","0","0","0","5","1","70"
"IN PERSON","1","0","0","0","1","0","0","2","9","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","819","74","3","1","2","294","9","1,202","168","MOVED OUT OF STATE","48","18","1","0","1","13","6","87"
"NVRA BY MAIL","1","2","0","0","0","0","0","3","0","OTHER","5","0","0","0","0","3","0","8"
"OTHER MEANS","17","1","0","0","0","3","0","21","8,180","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","94","18","0","0","0","26","5","143"
"SOCIAL SERVICES","9","0","0","0","0","6","0","15","2","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","987","98","5","1","4","334","9","1,438","8,563","TOTAL","610","98","1","0","3","113","39","864"
