"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","0","1","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","117","57","1","0","1","36","2","214","18","COUNTY TRANSFER - OUT","58","50","0","0","1","37","3","149"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","93","40","0","0","0","16","1","150"
"FROM ANOTHER BOARD","3","0","0","0","0","0","0","3","0","DUPLICATE","1","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","643","353","6","0","5","350","11","1,368"
"IN PERSON","6","0","0","0","0","1","0","7","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","144","73","2","0","0","135","1","355","47","MOVED OUT OF STATE","19","13","0","0","0","13","1","46"
"NVRA BY MAIL","0","2","0","0","0","2","0","4","0","OTHER","1","0","0","0","0","3","0","4"
"OTHER MEANS","108","60","1","0","2","78","4","253","11","VOTER REQUEST","1","0","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","0","1"
"SOCIAL SERVICES","1","0","0","0","0","0","0","1","0","","","","","","","","",""
"VOLUNTEER","6","1","0","0","0","2","0","9","0","","","","","","","","",""
"TOTAL","387","194","4","0","3","254","7","849","81","TOTAL","817","456","6","0","6","420","16","1,721"
