"Queen Anne's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","3","3","0","0","0","3","0","9","0","COUNTY TRANSFER - OUT","5","17","0","0","0","5","0","27"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","1","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","0","2","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","8","24","0","1","1","14","0","48","1","MOVED OUT OF STATE","0","0","0","0","0","0","0","0"
"NVRA BY MAIL","4","10","0","0","0","5","0","19","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","3","4","0","0","0","0","0","7","9","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","18","44","0","1","1","23","0","87","10","TOTAL","6","17","0","0","0","5","0","28"
