"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","376","175","6","0","5","128","3","693","1","COUNTY TRANSFER-OUT","622","175","4","0","1","56","6","864"
"DESIGNATED STATE AGENCIES","4","4","0","0","0","2","0","10","0","CRIMINAL CONVICTION","11","1","0","0","0","5","0","17"
"ELDERLY / DISABLED","2","0","0","0","0","0","0","2","0","DEATH NOTICE","8","1","0","0","0","0","1","10"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","19","6","0","0","0","3","0","28"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","784","357","3","1","3","203","14","1,365"
"IN PERSON","8","8","0","0","0","5","0","21","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","639","222","3","1","5","291","4","1,165","6","MOVED OUT OF STATE","76","66","1","0","0","7","1","151"
"NVRA BY MAIL","25","15","0","0","2","23","0","65","1","OTHER","14","3","0","0","1","8","0","26"
"OTHER MEANS","7","2","0","0","0","0","0","9","158","VOTER REQUEST","0","0","0","0","0","2","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","9","3","0","0","0","5","0","17","5","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","1,070","429","9","1","12","454","7","1,982","172","TOTAL","1,534","609","8","1","5","284","22","2,463"
