"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","383","98","2","1","102","2","588","4","COUNTY TRANSFER-OUT","323","123","1","3","91","13","554"
"DESIGNATED STATE AGENCIES","3","3","0","0","5","0","11","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","3","0","0","0","0","0","3","0","DEATH NOTICE","3","0","0","0","0","0","3"
"FROM ANOTHER BOARD","2","0","0","0","0","0","2","0","DUPLICATE","7","2","0","0","3","1","13"
"PROVISIONAL BALLOT","1","0","0","0","1","0","2","0","MAIL VERIFICATION (NVRA)","122","29","1","0","24","7","183"
"IN PERSON","7","2","0","0","2","0","11","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","487","200","3","7","303","5","1,005","148","MOVED OUT OF STATE","28","18","0","0","10","2","58"
"NVRA BY MAIL","39","22","0","0","8","0","69","0","OTHER","10","1","0","0","7","0","18"
"OTHER MEANS","107","5","0","0","17","1","130","110","VOTER REQUEST","1","1","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","6","1","0","0","5","0","12","5","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","1,039","331","5","8","443","8","1,834","269","TOTAL","494","174","2","3","135","23","831"
