"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","2","8","0","0","1","0","11","1","COUNTY TRANSFER - OUT","9","9","0","1","9","0","28"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","1","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","9","11","0","0","6","1","27","0","DUPLICATE","0","1","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","5","5","0","0","1","1","12"
"IN PERSON","1","1","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","1","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","18","20","0","0","7","1","46","17","MOVED OUT OF STATE","4","5","0","0","1","0","10"
"NVRA BY MAIL","1","1","0","0","2","0","4","0","OTHER","0","1","0","0","0","0","1"
"OTHER MEANS","0","0","0","0","0","0","0","53","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","2","0","3"
"SOCIAL SERVICES","1","1","0","0","0","0","2","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","32","42","0","0","16","2","92","71","TOTAL","18","24","0","1","13","1","57"
