"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","4","0","0","2","1","11","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","3","3","0","0","3","0","9","2","COUNTY TRANSFER - OUT","10","12","0","0","9","0","31"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","0","0","2","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","27","9","0","0","1","0","37"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","1","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","16","18","0","0","17","0","51","11","MOVED OUT OF STATE","4","3","0","0","3","0","10"
"NVRA BY MAIL","1","1","0","0","0","0","2","0","OTHER","2","0","0","0","0","0","2"
"OTHER MEANS","0","1","0","0","0","0","1","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","3","3","0","0","2","0","8","1","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","1","0","0","2","0","4","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","28","31","0","0","27","1","87","15","TOTAL","44","24","0","0","15","0","83"
