"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","1","BOARD ACTION","573","67","4","3","91","3","741"
"BY MAIL","200","43","0","4","53","4","304","102","COUNTY TRANSFER - OUT","963","182","4","6","284","7","1,446"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","18","1","0","0","2","0","21"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","10","5","0","0","1","0","16"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1,515","220","14","4","281","9","2,043"
"IN PERSON","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","561","122","2","3","246","2","936","178","MOVED OUT OF STATE","41","17","0","3","21","0","82"
"NVRA BY MAIL","5","0","0","0","1","0","6","0","OTHER","1","0","0","0","1","0","2"
"OTHER MEANS","84","29","0","1","34","6","154","5","VOTER REQUEST","3","0","0","0","0","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","199","43","4","1","37","1","285"
"SOCIAL SERVICES","9","0","0","0","3","0","12","5","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","1","","","","","","","",""
"TOTAL","860","194","2","8","337","12","1,413","292","TOTAL","3,324","535","26","17","718","20","4,640"
