"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","387","131","2","4","217","2","743","113","COUNTY TRANSFER - OUT","768","312","7","7","329","4","1,427"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","1","DEATH NOTICE","20","9","0","0","4","0","33"
"FROM ANOTHER BOARD","0","1","0","0","1","0","2","4","DUPLICATE","9","1","0","0","4","0","14"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","150","37","0","0","48","4","239"
"IN PERSON","5","2","0","0","1","0","8","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","837","266","5","9","648","9","1,774","232","MOVED OUT OF STATE","93","79","1","0","57","0","230"
"NVRA BY MAIL","0","1","0","0","0","0","1","0","OTHER","1","0","0","0","1","0","2"
"OTHER MEANS","3","1","0","0","0","0","4","20","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","17","5","0","0","14","0","36","0","","","","","","","",""
"TOTAL","1,252","407","7","13","881","11","2,571","374","TOTAL","1,041","438","8","7","443","8","1,945"
