"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","0","0","0","0","2","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","48","16","1","0","22","3","90","13","COUNTY TRANSFER - OUT","35","14","0","1","12","1","63"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","1","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","1","0","0","0","0","0","1"
"FROM ANOTHER BOARD","4","0","0","0","0","0","4","1","DUPLICATE","0","1","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","1","0","0","2","0","5","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","99","20","0","1","31","1","152","34","MOVED OUT OF STATE","0","0","0","0","0","0","0"
"NVRA BY MAIL","1","0","0","0","0","0","1","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","31","7","1","1","8","0","48","0","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","5","4","1","0","6","0","16"
"SOCIAL SERVICES","3","0","0","0","1","0","4","2","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","1","0","","","","","","","",""
"TOTAL","191","44","2","2","64","4","307","52","TOTAL","42","19","1","1","18","1","82"
