"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","32","14","0","0","0","0","18","0","64","36","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","274","241","0","6","0","0","161","8","690","186","CONFIRMATION MAIL","6","1","0","0","0","0","2","1","10"
"DESIGNATED STATE AGENCIES","381","83","0","1","13","2","247","58","785","47","COUNTY TRANSFER - OUT","4,832","2,029","12","62","3","3","2,006","96","9,043"
"ELDERLY / DISABLED / SOC SEC","347","101","0","0","4","1","233","145","831","8","CRIMINAL CONVICTION","58","11","0","0","0","0","21","3","93"
"ERIC REPORT","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","2,567","1,141","1","10","2","0","411","42","4,174"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","50","11","0","0","0","0","11","1","73"
"PROVISIONAL BALLOT","145","38","0","1","0","0","49","0","233","551","MAIL VERIFICATION (NVRA)","4,546","2,889","25","80","8","3","2,348","108","10,007"
"IN PERSON","94","31","0","0","0","0","23","3","151","272","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","8074","3821","38","170","21","6","4880","134","17,144","1,696","MOVED OUT OF STATE","262","178","0","6","0","0","118","5","569"
"NVRA BY MAIL","5","4","0","0","0","0","4","0","13","4","OTHER","20","4","0","1","0","0","5","2","32"
"ONLINE REGISTRATION","242","68","0","4","2","1","97","0","414","9","VOTER REQUEST","11","16","0","2","0","0","17","2","48"
"OTHER MEANS","19","20","0","0","0","0","12","0","51","28","","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY REGISTRATION","12","0","0","0","0","0","4","0","16","8","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","3","2","0","0","0","0","0","0","5","1","","","","","","","","","",""
"TOTAL","9,628","4,423","38","182","40","10","5,728","348","20,397","2,846","TOTAL","12,352","6,280","38","161","13","6","4,939","260","24,049"
