"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","4","1","0","0","0","0","1","0","6","0","COUNTY TRANSFER - OUT","10","7","1","0","0","0","0","0","18"
"DESIGNATED STATE AGENCIES","2","0","0","0","0","0","0","0","2","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","1","0","0","0","0","0","0","1","0","DEATH NOTICE","19","5","0","0","0","0","2","0","26"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","4","4","0","0","0","0","1","0","9"
"IN PERSON","2","0","0","0","1","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","29","15","0","0","2","0","6","0","52","6","MOVED OUT OF STATE","3","0","0","0","0","0","0","0","3"
"NVRA BY MAIL","1","1","0","0","1","0","1","0","4","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","0","1","0","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","1","0","0","0","0","1","0","4"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","38","19","0","0","4","0","8","0","69","6","TOTAL","39","17","1","0","0","0","5","0","62"
