"","","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","4","2","0","0","0","0","6","2","BOARD ACTION","0","0","0","0","2","0","2"
"","BY MAIL","307","114","4","3","151","19","598","143","CONFIRMATION MAIL","12","4","0","0","3","0","19"
"","DESIGNATED STATE AGENCIES","13","9","0","0","6","0","28","0","COUNTY TRANSFER - OUT","3,481","1,534","26","61","1,446","42","6,590"
"","ELDERLY / DISABLED","0","1","0","0","0","0","1","4","CRIMINAL CONVICTION","8","8","0","0","3","2","21"
"","FROM ANOTHER BOARD","14","7","0","1","4","0","26","25","DEATH NOTICE","2,476","1,053","7","5","367","42","3,950"
"","PROVISIONAL BALLOT","0","0","0","0","0","0","0","2","DUPLICATE","84","38","1","0","18","3","144"
"","IN PERSON","29","11","1","0","6","0","47","9","MAIL VERIFICATION (NVRA)","1,207","493","11","17","614","16","2,358"
"","MOTOR VEHICLE ADMINISTRATION","10347","4591","75","218","6308","75","21,614","1,415","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","NVRA BY MAIL","66","28","0","1","25","0","120","17","MOVED OUT OF STATE","807","434","4","12","349","17","1,623"
"","ONLINE REGISTRATION","456","188","4","9","144","4","805","17","OTHER","34","11","0","1","27","0","73"
"","OTHER MEANS","68","31","0","1","58","4","162","225","VOTER REQUEST","16","6","0","0","6","0","28"
"","RECRUITING","1","0","0","0","0","0","1","2","","","","","","","","0"
"","SOCIAL SERVICES","26","9","0","0","22","0","57","21","","","","","","","",""
"","VOLUNTEER","26","13","0","0","5","1","45","0","","","","","","","",""
"","TOTAL","11,357","5,004","84","233","6,729","103","23,510","1,882","TOTAL","8,125","3,581","49","96","2,835","122","14,808"
