"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","2","0","0","0","0","4","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","63","48","1","1","20","1","134","0","COUNTY TRANSFER - OUT","34","24","1","0","14","0","73"
"DESIGNATED STATE AGENCIES","3","3","0","0","0","0","6","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","17","7","0","0","4","0","28"
"FROM ANOTHER BOARD","2","3","0","0","1","0","6","0","DUPLICATE","1","1","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","0","0","0","1","0","2"
"IN PERSON","10","4","0","0","1","0","15","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","195","161","4","7","113","7","487","0","MOVED OUT OF STATE","11","10","0","0","5","0","26"
"NVRA BY MAIL","3","1","0","0","1","0","5","0","OTHER","3","3","1","0","3","0","10"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","0","0","0","4","0","6"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","278","222","5","8","136","8","657","0","TOTAL","70","45","2","0","31","0","148"
