"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","26","5","0","0","1","0","32","3","BOARD ACTION","10","0","0","0","2","0","12"
"BY MAIL","1,058","157","5","4","220","13","1,457","25","COUNTY TRANSFER - OUT","1,002","203","9","4","191","7","1,416"
"DESIGNATED STATE AGENCIES","50","2","0","2","6","0","60","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","46","4","0","0","2","1","53","2","DEATH NOTICE","239","18","0","0","12","1","270"
"FROM ANOTHER BOARD","105","12","0","1","21","2","141","2","DUPLICATE","1","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","179","19","0","0","16","1","215","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","839","176","5","9","309","15","1,353","54","MOVED OUT OF STATE","4","0","0","0","0","0","4"
"NVRA BY MAIL","88","9","1","0","23","2","123","0","OTHER","179","22","0","1","33","1","236"
"OTHER MEANS","49","11","0","0","6","0","66","12","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","1","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","28","0","0","0","5","0","33","0","","","","","","","",""
"TOTAL","2,468","395","11","16","609","34","3,533","104","TOTAL","1,435","243","9","5","239","9","1,940"
