"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","17","7","0","0","0","0","24","1","BOARD ACTION","2","1","0","0","1","0","4"
"BY MAIL","78","47","0","3","16","0","144","12","COUNTY TRANSFER - OUT","50","24","0","1","21","0","96"
"DESIGNATED STATE AGENCIES","1","0","0","0","2","0","3","0","CRIMINAL CONVICTION","6","0","0","0","4","0","10"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","43","27","0","0","7","0","77"
"FROM ANOTHER BOARD","2","2","0","0","0","0","4","5","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","64","37","1","0","12","1","115","9","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","103","79","0","1","46","2","231","63","MOVED OUT OF STATE","3","7","0","0","5","0","15"
"NVRA BY MAIL","14","12","0","0","10","0","36","2","OTHER","17","7","0","0","1","1","26"
"OTHER MEANS","3","1","0","0","0","0","4","1","VOTER REQUEST","0","1","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","0","0","0","0","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","11","8","0","1","4","0","24","0","","","","","","","",""
"TOTAL","293","193","1","5","90","3","585","93","TOTAL","123","67","0","1","39","1","231"
