"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","47","12","0","0","5","1","65","14","BOARD ACTION","0","1","0","0","1","0","2"
"BY MAIL","1,715","640","5","9","377","27","2,773","66","COUNTY TRANSFER-OUT","994","377","5","4","252","17","1,649"
"DESIGNATED STATE AGENCIES","1","2","0","0","2","0","5","0","CRIMINAL CONVICTION","7","3","0","1","2","0","13"
"ELDERLY / DISABLED","2","0","0","0","0","0","2","8","DEATH NOTICE","272","83","0","0","9","6","370"
"FROM ANOTHER BOARD","22","12","0","0","7","1","42","1","DUPLICATE","28","11","0","0","9","0","48"
"PROVISIONAL BALLOT","1","0","0","0","1","0","2","2","MAIL VERIFICATION (NVRA)","18","13","0","0","6","2","39"
"IN PERSON","73","11","0","0","10","1","95","2","MENTAL INCOMPETENCY","0","1","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","1,299","456","5","15","523","17","2,315","85","MOVED OUT OF STATE","71","38","0","0","29","1","139"
"NVRA BY MAIL","80","35","0","0","34","2","151","4","OTHER","162","56","3","3","34","5","263"
"OTHER MEANS","66","20","0","0","18","0","104","399","VOTER REQUEST","0","0","0","0","0","1","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","43","10","1","0","8","1","63"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","32","6","0","0","9","0","47","0","","","","","","","",""
"TOTAL","3,338","1,194","10","24","986","49","5,601","581","TOTAL","1,595","593","9","8","350","33","2,588"
