"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","4","0","0","0","1","7","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","144","105","0","1","53","2","305","0","COUNTY TRANSFER - OUT","53","52","0","0","20","3","128"
"DESIGNATED STATE AGENCIES","11","6","1","0","6","0","24","1","CRIMINAL CONVICTION","5","2","0","0","1","0","8"
"ELDERLY / DISABLED","3","0","0","0","0","0","3","0","DEATH NOTICE","18","14","0","0","6","0","38"
"FROM ANOTHER BOARD","14","15","0","0","2","2","33","0","DUPLICATE","0","0","0","0","1","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","2","1","0","0","1","0","4"
"IN PERSON","14","10","0","0","2","1","27","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","114","96","1","3","87","3","304","0","MOVED OUT OF STATE","19","22","1","0","6","1","49"
"NVRA BY MAIL","6","11","0","0","5","0","22","0","OTHER","52","40","1","0","25","1","119"
"OTHER MEANS","1","1","0","0","0","0","2","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","10","10","0","1","6","0","27"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","12","1","0","0","2","1","16","0","","","","","","","",""
"TOTAL","321","249","2","4","157","10","743","1","TOTAL","159","141","2","1","66","5","374"
