"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","22","9","0","0","1","0","32","3","BOARD ACTION","1","0","0","0","1","0","2"
"BY MAIL","164","43","0","0","31","8","246","29","COUNTY TRANSFER - OUT","124","61","0","1","35","3","224"
"DESIGNATED STATE AGENCIES","4","4","0","0","2","0","10","2","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","7","3","0","0","0","0","10","0","DEATH NOTICE","22","16","0","0","3","3","44"
"FROM ANOTHER BOARD","8","0","0","0","0","0","8","0","DUPLICATE","2","1","0","0","2","0","5"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","29","16","0","0","2","0","47","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","398","136","1","0","136","6","677","76","MOVED OUT OF STATE","12","20","0","0","5","2","39"
"NVRA BY MAIL","20","5","0","0","7","2","34","2","OTHER","46","33","1","1","22","0","103"
"OTHER MEANS","8","2","0","0","1","1","12","5","VOTER REQUEST","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","0","0","0","1","0","4"
"SOCIAL SERVICES","0","1","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","0","2","0","","","","","","","",""
"TOTAL","662","219","1","0","180","17","1,079","119","TOTAL","210","131","1","2","70","8","422"
