"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","10","9","0","0","3","0","22","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","900","511","6","13","339","0","1,769","1","COUNTY TRANSFER - OUT","449","300","6","4","148","1","908"
"DESIGNATED STATE AGENCIES","5","7","0","0","2","0","14","0","CRIMINAL CONVICTION","12","5","0","0","9","0","26"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","87","53","1","0","6","1","148"
"FROM ANOTHER BOARD","14","11","1","0","8","0","34","0","DUPLICATE","3","0","0","0","1","0","4"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","1","0","0","0","0","1"
"IN PERSON","84","30","0","2","12","0","128","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","636","415","3","10","502","1","1,567","91","MOVED OUT OF STATE","60","71","0","1","35","0","167"
"NVRA BY MAIL","61","34","0","0","30","0","125","0","OTHER","97","58","1","1","34","0","191"
"OTHER MEANS","40","9","0","0","7","0","56","1","VOTER REQUEST","0","1","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","8","9","0","0","4","0","21"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","16","18","0","0","4","0","38","0","","","","","","","",""
"TOTAL","1,766","1,044","10","25","907","1","3,753","95","TOTAL","716","498","8","6","238","2","1,468"
