"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","6","7","0","0","1","0","14","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","289","219","1","2","95","2","608","5","COUNTY TRANSFER - OUT","124","108","2","1","78","0","313"
"DESIGNATED STATE AGENCIES","14","8","0","0","2","0","24","0","CRIMINAL CONVICTION","2","5","0","0","3","0","10"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","71","55","0","0","10","0","136"
"FROM ANOTHER BOARD","115","66","1","0","41","0","223","1","DUPLICATE","2","0","0","0","0","0","2"
"PROVISIONAL BALLOT","2","0","0","1","0","0","3","0","MAIL VERIFICATION (NVRA)","0","0","1","0","1","0","2"
"IN PERSON","49","29","1","0","6","0","85","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","234","184","7","4","172","2","603","14","MOVED OUT OF STATE","23","28","0","0","7","0","58"
"NVRA BY MAIL","0","2","0","0","0","0","2","0","OTHER","28","15","0","0","10","0","53"
"OTHER MEANS","47","25","0","0","9","0","81","8","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","19","9","1","0","6","0","35","0","","","","","","","",""
"TOTAL","776","549","11","7","332","4","1,679","31","TOTAL","250","211","3","1","109","0","574"
