"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","6","3","0","0","5","0","14","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","699","209","4","3","225","16","1,156","34","COUNTY TRANSFER - OUT","435","168","2","2","115","11","733"
"DESIGNATED STATE AGENCIES","51","16","0","0","12","0","79","13","CRIMINAL CONVICTION","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","16","2","0","0","3","0","21"
"FROM ANOTHER BOARD","21","1","0","0","2","0","24","3","DUPLICATE","60","14","0","0","8","2","84"
"PROVISIONAL BALLOT","20","1","0","0","8","0","29","5","MAIL VERIFICATION (NVRA)","48","16","0","0","11","0","75"
"IN PERSON","38","9","0","0","10","1","58","0","MENTAL INCOMPETENCY","0","0","0","0","0","1","1"
"MOTOR VEHICLE ADMINISTRATION","1,528","468","15","14","615","24","2,664","26","MOVED OUT OF STATE","104","58","0","2","45","4","213"
"NVRA BY MAIL","176","55","0","1","87","2","321","0","OTHER","14","2","1","0","1","0","18"
"OTHER MEANS","71","19","0","0","23","1","114","352","VOTER REQUEST","2","0","0","1","0","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","2","0","0","0","1","6"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","3","0","0","0","2","0","5","0","","","","","","","",""
"TOTAL","2,613","781","19","18","989","44","4,464","433","TOTAL","683","262","3","5","183","19","1,155"
