"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","1","0","2","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","65","36","0","1","47","0","149","0","COUNTY TRANSFER - OUT","65","63","0","0","45","0","173"
"DESIGNATED STATE AGENCIES","4","4","0","0","6","0","14","0","CRIMINAL CONVICTION","0","1","0","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","6","7","0","0","1","1","15"
"FROM ANOTHER BOARD","59","50","1","1","30","0","141","0","DUPLICATE","6","3","0","0","3","0","12"
"PROVISIONAL BALLOT","8","6","1","0","0","0","15","0","MAIL VERIFICATION (NVRA)","9","5","0","0","4","0","18"
"IN PERSON","8","5","0","0","2","0","15","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","180","122","3","3","144","1","453","1","MOVED OUT OF STATE","32","45","0","0","22","0","99"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","2","0","0","0","1","0","3"
"OTHER MEANS","17","9","0","0","9","0","35","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","6","5","0","0","1","0","12"
"SOCIAL SERVICES","1","0","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","1","0","0","0","3","0","4","0","","","","","","","",""
"TOTAL","343","233","5","5","242","1","829","1","TOTAL","126","129","0","0","78","1","334"
