"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","6","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","860","196","3","5","449","14","1,527","117","COUNTY TRANSFER - OUT","296","120","3","1","103","1","524"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","1","0","0","0","1","0","2"
"ELDERLY / DISABLED","4","1","0","0","0","0","5","3","DEATH NOTICE","7","3","0","0","1","0","11"
"FROM ANOTHER BOARD","4","0","0","0","0","0","4","0","DUPLICATE","7","5","0","0","6","0","18"
"PROVISIONAL BALLOT","171","32","0","0","9","0","212","44","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","6","3","0","0","4","0","13","7","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,055","323","10","8","694","16","2,106","297","MOVED OUT OF STATE","192","82","1","1","86","1","363"
"NVRA BY MAIL","0","0","0","0","1","0","1","0","OTHER","152","34","0","0","18","0","204"
"OTHER MEANS","140","23","0","0","49","4","216","160","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","254","67","1","1","48","1","372"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","33","5","0","0","12","0","50","0","","","","","","","",""
"TOTAL","2,275","583","13","13","1,218","34","4,136","634","TOTAL","910","311","5","3","263","3","1,495"
