"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","49","42","0","0","39","2","132","18","COUNTY TRANSFER - OUT","25","27","0","0","9","0","61"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","10","9","0","0","1","0","20"
"FROM ANOTHER BOARD","1","1","0","0","1","0","3","1","DUPLICATE","0","1","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","14","5","0","0","2","0","21"
"IN PERSON","2","3","0","0","0","0","5","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","143","125","3","2","107","6","386","35","MOVED OUT OF STATE","18","25","0","0","13","1","57"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","0","1","0","0","0","0","1"
"OTHER MEANS","0","0","0","0","0","0","0","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","4","1","0","0","0","0","5","0","","","","","","","",""
"TOTAL","200","173","3","2","147","8","533","56","TOTAL","67","68","0","0","26","1","162"
