"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","36","37","0","0","16","2","91","1","COUNTY TRANSFER - OUT","32","17","0","0","13","2","64"
"DESIGNATED STATE AGENCIES","4","0","0","0","1","0","5","0","CRIMINAL CONVICTION","0","1","0","1","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","35","21","0","0","3","2","61"
"FROM ANOTHER BOARD","1","0","0","0","0","0","1","0","DUPLICATE","3","2","0","0","0","0","5"
"PROVISIONAL BALLOT","4","2","0","0","0","0","6","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","1","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","129","90","1","6","107","3","336","35","MOVED OUT OF STATE","16","22","0","0","14","2","54"
"NVRA BY MAIL","11","7","0","0","5","0","23","0","OTHER","4","0","0","1","0","0","5"
"OTHER MEANS","0","0","0","0","2","0","2","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","15","8","0","0","3","0","26"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","0","2","0","","","","","","","",""
"TOTAL","187","137","1","6","132","5","468","36","TOTAL","105","71","0","2","33","6","217"
