"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","24","32","1","1","12","1","71","4","COUNTY TRANSFER - OUT","11","5","2","0","4","0","22"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","0","1","0","0","0","0","1"
"FROM ANOTHER BOARD","0","3","0","0","1","0","4","1","DUPLICATE","1","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","16","23","0","0","11","0","50"
"IN PERSON","0","0","0","0","1","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","17","11","1","0","15","0","44","6","MOVED OUT OF STATE","3","3","0","0","1","0","7"
"NVRA BY MAIL","1","2","0","0","1","0","4","0","OTHER","16","14","0","0","5","0","35"
"OTHER MEANS","0","1","0","0","0","0","1","14","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","14","8","0","0","4","0","26"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","42","50","2","1","30","1","126","25","TOTAL","61","54","2","0","25","0","142"
