"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","16","18","1","1","12","1","49","0","COUNTY TRANSFER - OUT","34","23","0","0","23","0","80"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","1","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","20","9","0","0","2","0","31"
"FROM ANOTHER BOARD","24","20","0","1","11","1","57","0","DUPLICATE","0","1","0","0","0","0","1"
"PROVISIONAL BALLOT","0","1","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","3","0","0","0","2","0","5"
"IN PERSON","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","65","60","1","2","46","1","175","1","MOVED OUT OF STATE","15","11","0","0","2","1","29"
"NVRA BY MAIL","4","3","0","0","2","0","9","0","OTHER","2","0","0","0","0","0","2"
"OTHER MEANS","1","1","0","0","0","0","2","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","12","9","0","0","3","12","36"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","1","0","","","","","","","",""
"TOTAL","111","103","2","4","71","3","294","1","TOTAL","86","53","0","0","32","14","185"
