"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","3","0","0","3","0","7","0","BOARD ACTION","105","76","1","0","62","3","247"
"BY MAIL","160","69","3","1","71","7","311","2","COUNTY TRANSFER - OUT","187","104","0","0","80","6","377"
"DESIGNATED STATE AGENCIES","3","1","0","0","0","0","4","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","1","0","0","0","0","0","1"
"FROM ANOTHER BOARD","4","1","0","0","2","0","7","0","DUPLICATE","6","1","0","0","0","1","8"
"PROVISIONAL BALLOT","1","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","48","16","0","0","14","0","78"
"IN PERSON","13","5","0","0","2","0","20","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","303","135","1","2","159","13","613","9","MOVED OUT OF STATE","43","29","0","1","19","0","92"
"NVRA BY MAIL","10","3","0","0","11","0","24","0","OTHER","8","2","0","0","1","1","12"
"OTHER MEANS","2","4","0","0","2","0","8","8","VOTER REQUEST","0","1","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","2","0","0","1","0","4"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","5","1","0","0","3","0","9","0","","","","","","","",""
"TOTAL","502","222","4","3","253","20","1,004","19","TOTAL","399","231","1","1","177","11","820"
