"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","1","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","25","16","1","0","8","1","51","2","COUNTY TRANSFER - OUT","42","20","0","0","15","2","79"
"DESIGNATED STATE AGENCIES","0","3","0","0","0","0","3","0","CRIMINAL CONVICTION","3","0","0","0","0","0","3"
"ELDERLY / DISABLED","4","4","0","1","6","0","15","0","DEATH NOTICE","2","1","0","0","0","0","3"
"FROM ANOTHER BOARD","0","2","0","0","1","0","3","1","DUPLICATE","0","1","0","0","2","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","49","38","0","3","36","1","127","11","MOVED OUT OF STATE","5","4","0","0","0","1","10"
"NVRA BY MAIL","7","1","0","0","2","0","10","0","OTHER","1","0","0","0","0","0","1"
"OTHER MEANS","3","2","0","0","0","0","5","2","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","576","546","0","0","0","1","1,123"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","8","3","0","1","4","2","18","0","","","","","","","",""
"TOTAL","98","69","1","5","57","5","235","16","TOTAL","629","572","0","0","17","4","1,222"
