"Garrett","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","5","7","0","0","1","0","13","1","COUNTY TRANSFER - OUT","8","9","0","2","3","1","23"
"DESIGNATED STATE AGENCIES","0","2","0","0","0","0","2","0","CRIMINAL CONVICTION","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","6","9","0","0","0","0","15"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","1","0","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","16","32","0","2","19","3","72","11","MOVED OUT OF STATE","0","6","0","0","1","0","7"
"NVRA BY MAIL","0","3","0","0","2","0","5","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","0","2","1","0","0","0","3","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","2","10","0","0","0","0","12"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","22","46","1","2","22","3","96","12","TOTAL","16","34","0","2","5","1","58"
