"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","2","0","0","1","0","4","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","353","187","0","7","188","0","735","134","COUNTY TRANSFER - OUT","231","152","3","0","84","0","470"
"DESIGNATED STATE AGENCIES","10","3","0","0","1","0","14","0","CRIMINAL CONVICTION","13","3","0","0","2","0","18"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","6","0","0","0","0","0","6","0","DUPLICATE","6","5","0","0","4","0","15"
"PROVISIONAL BALLOT","4","1","0","0","0","0","5","1","MAIL VERIFICATION (NVRA)","1","1","0","0","0","0","2"
"IN PERSON","9","2","0","0","4","0","15","20","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","823","497","8","12","563","2","1,905","809","MOVED OUT OF STATE","67","84","1","0","41","0","193"
"NVRA BY MAIL","53","26","1","2","32","0","114","32","OTHER","28","11","2","0","15","0","56"
"OTHER MEANS","24","11","0","0","13","0","48","5","VOTER REQUEST","0","1","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","2","0","0","2","0","5"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","3","0","1","0","1","0","5","0","","","","","","","",""
"TOTAL","1,286","729","10","21","803","2","2,851","1,001","TOTAL","347","259","6","0","148","0","760"
