"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","1","0","0","1","0","5","0","BOARD ACTION","7","0","0","0","1","0","8"
"BY MAIL","348","54","2","0","92","5","501","0","COUNTY TRANSFER - OUT","865","128","7","1","188","3","1,192"
"DESIGNATED STATE AGENCIES","2","1","1","0","0","0","4","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","2","0","0","0","0","0","2"
"FROM ANOTHER BOARD","37","3","0","0","5","4","49","0","DUPLICATE","36","7","0","0","6","1","50"
"PROVISIONAL BALLOT","1","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","6","1","0","0","1","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","699","129","7","5","237","12","1,089","0","MOVED OUT OF STATE","0","0","0","0","0","0","0"
"NVRA BY MAIL","10","2","0","0","1","0","13","0","OTHER","4","0","0","0","1","0","5"
"OTHER MEANS","16","5","0","0","1","0","22","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","9","0","0","0","1","0","10","0","","","","","","","",""
"TOTAL","1,131","196","10","5","339","21","1,702","0","TOTAL","914","135","7","1","196","4","1,257"
