"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","2","0","0","0","0","2","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","42","42","0","2","26","0","112","4","COUNTY TRANSFER - OUT","40","58","1","0","27","0","126"
"DESIGNATED STATE AGENCIES","1","2","0","0","4","0","7","0","CRIMINAL CONVICTION","1","0","0","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","35","28","0","0","3","0","66"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","4","7","0","0","1","0","12"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","5","0","0","0","0","5","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","81","110","2","1","74","0","268","24","MOVED OUT OF STATE","7","27","0","0","8","0","42"
"NVRA BY MAIL","16","7","0","0","14","0","37","0","OTHER","2","3","0","0","2","0","7"
"OTHER MEANS","0","4","0","0","1","0","5","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","7","12","0","0","5","0","24"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","4","2","0","1","3","0","10","0","","","","","","","",""
"TOTAL","144","174","2","4","122","0","446","28","TOTAL","96","135","1","0","47","0","279"
