"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","15","3","1","0","13","1","33","15","BOARD ACTION","1","0","0","0","2","0","3"
"BY MAIL","2,345","1,089","12","21","978","31","4,476","846","COUNTY TRANSFER - OUT","4,317","1,660","30","26","1,286","66","7,385"
"DESIGNATED STATE AGENCIES","40","15","1","0","17","2","75","11","CRIMINAL CONVICTION","95","27","0","1","19","1","143"
"ELDERLY / DISABLED","31","4","0","1","16","1","53","12","DEATH NOTICE","3,442","1,316","2","3","402","41","5,206"
"FROM ANOTHER BOARD","36","19","0","0","23","3","81","22","DUPLICATE","223","137","1","1","70","6","438"
"PROVISIONAL BALLOT","11","7","0","0","2","0","20","17","MAIL VERIFICATION (NVRA)","5,127","2,737","44","47","2,074","124","10,153"
"IN PERSON","77","55","0","1","29","0","162","19","MENTAL INCOMPETENCY","2","0","0","0","1","0","3"
"MOTOR VEHICLE ADMINISTRATION","9,911","3,512","70","119","4,565","46","18,223","2,763","MOVED OUT OF STATE","1,215","814","6","11","435","34","2,515"
"NVRA BY MAIL","184","122","1","2","126","2","437","7","OTHER","341","107","0","2","165","6","621"
"OTHER MEANS","490","132","6","2","145","12","787","734","VOTER REQUEST","13","4","0","0","6","0","23"
"RECRUITING","2","1","0","0","1","0","4","267","CONFIRMATION MAIL","540","250","2","1","76","1","870"
"SOCIAL SERVICES","110","16","0","0","41","0","167","31","","","","","","","",""
"VOLUNTEER","155","19","1","0","72","1","248","0","","","","","","","",""
"TOTAL","13,407","4,994","92","146","6,028","99","24,766","4,744","TOTAL","15,316","7,052","85","92","4,536","279","27,360"
